displayName,description,datatype,patientAttribute,priority,clinicalAttributeId,studyId
"Alcohol Consumption Frequency","Alcohol Consumption Frequency","STRING",true,"1","ALCOHOL_CONSUMPTION_FREQUENCY","esca_tcga"
"Alcohol History Documented","Alcohol History Documented","STRING",true,"1","ALCOHOL_HISTORY_DOCUMENTED","esca_tcga"
"Birth Country","Birth Country","STRING",true,"1","BIRTH_COUNTRY","esca_tcga"
"Cancer Procurement State Province","Cancer Procurement State Province","STRING",true,"1","CANCER_PROCUREMENT_STATE_PROVINCE","esca_tcga"
"Cancer Type","Cancer type","STRING",false,"1","CANCER_TYPE","esca_tcga"
"Cancer Type Detailed","Cancer type detailed","STRING",false,"1","CANCER_TYPE_DETAILED","esca_tcga"
"City of Procurement","City of procurement.","STRING",true,"1","CITY_OF_PROCUREMENT","esca_tcga"
"Columnar mucosa goblet cell present","Columnar mucosa goblet cell present","STRING",true,"1","COLUMNAR_METAPLASIA_GOBLET_CELL_INDICATOR","esca_tcga"
"Daily Alcohol","Daily alcohol","STRING",true,"1","DAILY_ALCOHOL","esca_tcga"
"Birth from Initial Pathologic Diagnosis Date","Time interval from a person's date of birth to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_BIRTH","esca_tcga"
"Days to Sample Collection.","Days to sample collection.","NUMBER",false,"1","DAYS_TO_COLLECTION","esca_tcga"
"Death from Initial Pathologic Diagnosis Date","Time interval from a person's date of death to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_DEATH","esca_tcga"
"Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value","Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS","esca_tcga"
"Days to Last Followup","Time interval from the date of last followup to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_LAST_FOLLOWUP","esca_tcga"
"days_to_patient_progression_free","days_to_patient_progression_free","STRING",true,"1","DAYS_TO_PATIENT_PROGRESSION_FREE","esca_tcga"
"Days to Sample Procurement","Days to sample procurement.","STRING",false,"1","DAYS_TO_SPECIMEN_COLLECTION","esca_tcga"
"days_to_tumor_progression","days_to_tumor_progression","STRING",true,"1","DAYS_TO_TUMOR_PROGRESSION","esca_tcga"
"Disease Free (Months)","Disease free (months) since initial treatment.","NUMBER",true,"1","DFS_MONTHS","esca_tcga"
"Disease Free Status","Disease free status since initial treatment.","STRING",true,"1","DFS_STATUS","esca_tcga"
"Disease code","Disease code","STRING",true,"1","DISEASE_CODE","esca_tcga"
"Performance Status","The functional level of the patient based on the Zubrod performance scale.","NUMBER",true,"1","ECOG_SCORE","esca_tcga"
"Esophageal tumor cental location","Esophageal tumor cental location","STRING",true,"1","ESOPHAGEAL_TUMOR_LOCATION_CENTERED","esca_tcga"
"Esophageal tumor involvement site","Esophageal tumor involvement site","STRING",true,"1","ESOPHAGEAL_TUMOR_LOCATION_INVOLVED","esca_tcga"
"Columnar metaplasia present","Columnar metaplasia present","STRING",true,"1","ESOPH_COLUMNAR_METAPLASIA_INDICATOR","esca_tcga"
"Columnar mucosa dysplasia","Columnar mucosa dysplasia","STRING",true,"1","ESOPH_NON_CA_DEGREE_OF_DYSPLASIA","esca_tcga"
"Ethnicity Category","The text for reporting information about ethnicity.","STRING",true,"1","ETHNICITY","esca_tcga"
"Lymphomatous Extranodal Site Involvement Indicator","Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.","STRING",true,"1","EXTRANODAL_INVOLVEMENT","esca_tcga"
"History of esophageal cancer","History of esophageal cancer","STRING",true,"1","FAMILY_HISTORY_ESOPH_GASTIC_CANCER","esca_tcga"
"Form completion date","Form completion date","STRING",true,"1","FORM_COMPLETION_DATE","esca_tcga"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER",false,"20","FRACTION_GENOME_ALTERED","esca_tcga"
"Neoplasm Histologic Grade","Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.","STRING",true,"1","GRADE","esca_tcga"
"Patient Height","Height in centimeters.","NUMBER",true,"1","HEIGHT","esca_tcga"
"Neoplasm Histologic Type Name","Text term for the structural pattern of cancer cells used to define a microscopic diagnosis.","STRING",true,"1","HISTOLOGICAL_DIAGNOSIS","esca_tcga"
"Barretts esophagus","Barretts esophagus","STRING",true,"1","HISTORY_BARRETTS_ESOPHAGEAL_INDICATOR","esca_tcga"
"Goblet cells present","Goblet cells present","STRING",true,"1","HISTORY_IF_BARRETTS_GOBLET_CELL_INDICATOR","esca_tcga"
"Neoadjuvant Therapy Type Administered Prior To Resection Text","Text term to describe the patient's history of neoadjuvant treatment and the kind of treament given prior to resection of the tumor.","STRING",true,"1","HISTORY_NEOADJUVANT_TRTYN","esca_tcga"
"Prior Cancer Diagnosis Occurence","Text term to describe the patient's history of prior cancer diagnosis and the spatial location of any previous cancer occurrence.","STRING",true,"1","HISTORY_OTHER_MALIGNANCY","esca_tcga"
"Antireflux treatment type","Antireflux treatment type","STRING",true,"1","HISTORY_REFLUX_DISEASE_TREATMENT","esca_tcga"
"H-PYLORI Infection","H-PYLORI infection.","STRING",true,"1","H_PYLORI_INFECTION","esca_tcga"
"ICD-10 Classification","10th revision of the International Statistical Classification of Diseases and Related Health Problems.","STRING",true,"1","ICD_10","esca_tcga"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_HISTOLOGY","esca_tcga"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The description of an anatomical region or of a body part._Named locations of, or within, the body._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_SITE","esca_tcga"
"Informed consent verified","Informed consent verified","STRING",true,"1","INFORMED_CONSENT_VERIFIED","esca_tcga"
"Initial diagnosis by","Initial diagnosis by","STRING",true,"1","INITIAL_DIAGNOSIS_ESOPHAGEAL_CA_TYPE","esca_tcga"
"Year Cancer Initial Diagnosis","Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer.","NUMBER",true,"1","INITIAL_PATHOLOGIC_DX_YEAR","esca_tcga"
"Initial Patient Weight","Weight measured in kilograms.","NUMBER",false,"1","INITIAL_WEIGHT","esca_tcga"
"Is FFPE","If the sample is from FFPE","STRING",false,"1","IS_FFPE","esca_tcga"
"Karnofsky Performance Score","Score from the Karnofsky Performance status scale, representing the functional capabilities of a person.","NUMBER",true,"1","KARNOFSKY_PERFORMANCE_SCORE","esca_tcga"
"Longest Dimension","Longest Dimension","NUMBER",false,"1","LONGEST_DIMENSION","esca_tcga"
"Primary Lymph Node Presentation Assessment Ind-3","the yes/no/unknown indicator whether a lymph node assessment was performed at the primary presentation of disease.","STRING",true,"1","LYMPH_NODES_EXAMINED","esca_tcga"
"Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count","Numeric value to signify the count of positive lymph nodes identified through hematoxylin and eosin (H&E) staining light microscopy.","NUMBER",true,"1","LYMPH_NODES_EXAMINED_HE_COUNT","esca_tcga"
"Positive Finding Lymph Node Keratin Immunohistochemistry Staining Method Count","Numeric value to signify the count of positive lymph nodes identified through keratin immunohistochemistry (IHC) staining method,","NUMBER",true,"1","LYMPH_NODES_EXAMINED_IHC_COUNT","esca_tcga"
"Lymph Node(s) Examined Number","The total number of lymph nodes removed and pathologically assessed for disease.","NUMBER",true,"1","LYMPH_NODE_EXAMINED_COUNT","esca_tcga"
"Lymph node metastasis radiographic evidence","Lymph node metastasis radiographic evidence","STRING",true,"1","LYMPH_NODE_SPRD_RADIOGRAPH_EVIDENCE","esca_tcga"
"First Pathologic Diagnosis Biospecimen Acquisition Method Type","Text name of the procedure to secure the tissue used for the original pathologic diagnosis.","STRING",true,"1","METHOD_OF_INITIAL_SAMPLE_PROCUREMENT","esca_tcga"
"First Pathologic Diagnosis Biospecimen Acquisition Other Method Type","Text to describe a method used to secure tissue for an original pathologic diagnosis that is different from other identified methods.","STRING",true,"1","METHOD_OF_INITIAL_SAMPLE_PROCUREMENT_OTHER","esca_tcga"
"First Pathologic Diagnosis Biospecimen Acquisition Method Type","Text name of the procedure to secure the tissue used for the original pathologic diagnosis.","STRING",false,"1","METHOD_OF_SAMPLE_PROCUREMENT","esca_tcga"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","esca_tcga"
"New Neoplasm Event Post Initial Therapy Indicator","Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.","STRING",true,"1","NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT","esca_tcga"
"Number of relatives diagnosed","Number of relatives diagnosed","NUMBER",true,"1","NUMBER_OF_RELATIVES_DIAGNOSED","esca_tcga"
"Oct embedded","Oct embedded","STRING",false,"1","OCT_EMBEDDED","esca_tcga"
"Oncotree Code","Oncotree code","STRING",false,"1","ONCOTREE_CODE","esca_tcga"
"Overall Survival (Months)","Overall survival in months since initial diagonosis.","NUMBER",true,"1","OS_MONTHS","esca_tcga"
"Overall Survival Status","Overall patient survival status.","STRING",true,"1","OS_STATUS","esca_tcga"
"Specimen Collection Method","The type of procedure or method used to collect the specimen.","STRING",false,"1","OTHER_METHOD_OF_SAMPLE_PROCUREMENT","esca_tcga"
"Other Patient ID","Legacy DMP patient identifier (DMPnnnn)","STRING",true,"1","OTHER_PATIENT_ID","esca_tcga"
"Other Sample ID","Legacy DMP sample identifier (DMPnnnn)","STRING",false,"1","OTHER_SAMPLE_ID","esca_tcga"
"Pathology Report File Name","Pathology Report File Name","STRING",false,"1","PATHOLOGY_REPORT_FILE_NAME","esca_tcga"
"Pathology report uuid","Pathology report uuid","STRING",false,"1","PATHOLOGY_REPORT_UUID","esca_tcga"
"Planned surgery status","Planned surgery status","STRING",true,"1","PATIENT_TO_UNDERGO_SURGERY","esca_tcga"
"Adjuvant Postoperative Pharmaceutical Therapy Administered Indicator","Indicator to signify whether or not whether the patient had adjuvant/post-operative pharmaceutical therapy.","STRING",true,"1","PHARMACEUTICAL_TX_ADJUVANT","esca_tcga"
"Project code","Project code","STRING",true,"1","PROJECT_CODE","esca_tcga"
"Tissue Prospective Collection Indicator","Text indicator for the time frame of tissue procurement, indicating that the tissue was procured in parallel to the project.","STRING",true,"1","PROSPECTIVE_COLLECTION","esca_tcga"
"Race Category","The text for reporting information about race.","STRING",true,"1","RACE","esca_tcga"
"Did patient start adjuvant postoperative radiotherapy?","A yes/no indicator that asks whether the patient started adjuvant postoperative radiotherapy.","STRING",true,"1","RADIATION_TREATMENT_ADJUVANT","esca_tcga"
"Reflux History","History of reflux.","STRING",true,"1","REFLUX_HISTORY","esca_tcga"
"Surgical Margin Resection Status","Text terms to describe the status of a tissue margin following surgical resection.","STRING",true,"1","RESIDUAL_TUMOR","esca_tcga"
"Tissue Retrospective Collection Indicator","Text indicator for the time frame of tissue procurement, indicating that the tissue was obtained and stored prior to the initiation of the project.","STRING",true,"1","RETROSPECTIVE_COLLECTION","esca_tcga"
"Sample Type","The type of sample (i.e., normal, primary, met, recurrence).","STRING",false,"1","SAMPLE_TYPE","esca_tcga"
"Sample type id","Sample type id","STRING",false,"1","SAMPLE_TYPE_ID","esca_tcga"
"Sex","Sex","STRING",true,"1","SEX","esca_tcga"
"Shortest Dimension","Shortest Dimension","NUMBER",false,"1","SHORTEST_DIMENSION","esca_tcga"
"Person Cigarette Smoking History Pack Year Value","Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.","NUMBER",true,"1","SMOKING_PACK_YEARS","esca_tcga"
"Started Smoking Year","The year in which the participant began smoking.","NUMBER",true,"1","SMOKING_YEAR_STARTED","esca_tcga"
"Stopped Smoking Year","The year in which the participant quit smoking.","NUMBER",true,"1","SMOKING_YEAR_STOPPED","esca_tcga"
"Specimen Current Weight","The weight of the specimen.","STRING",false,"1","SPECIMEN_CURRENT_WEIGHT","esca_tcga"
"Specimen Freezing Means","The method used to freeze the tissue after removal from the patient.","STRING",false,"1","SPECIMEN_FREEZING_METHOD","esca_tcga"
"Specimen Second Longest Dimension","The second longest dimension of the specimen.","NUMBER",false,"1","SPECIMEN_SECOND_LONGEST_DIMENSION","esca_tcga"
"Stage Other","Stage Other","STRING",true,"1","STAGE_OTHER","esca_tcga"
"Time between clamping and freezing","Time between clamping and freezing","STRING",false,"1","TIME_BETWEEN_CLAMPING_AND_FREEZING","esca_tcga"
"Time between excision and freezing","Time between excision and freezing","STRING",false,"1","TIME_BETWEEN_EXCISION_AND_FREEZING","esca_tcga"
"Tissue Source Site","A Tissue Source Site collects samples (tissue, cell, or blood) and cliincal metadata which are then sent to tha Biospecimen Core Resource.","STRING",true,"1","TISSUE_SOURCE_SITE","esca_tcga"
"Patient Smoking History Category","Category describing current smoking status and smoking history as self-reported by a patient.","STRING",true,"1","TOBACCO_SMOKING_HISTORY_INDICATOR","esca_tcga"
"Treatment prior to surgery","Treatment prior to surgery","STRING",true,"1","TREATMENT_PRIOR_TO_SURGERY_INDICATOR","esca_tcga"
"Tumor sample procurement country","Tumor sample procurement country","STRING",true,"1","TUMOR_SAMPLE_PROCUREMENT_COUNTRY","esca_tcga"
"Person Neoplasm Status","The state or condition of an individual's neoplasm at a particular point in time.","STRING",true,"1","TUMOR_STATUS","esca_tcga"
"Tumor Disease Anatomic Site","Text term that describes the anatomic site of the tumor or disease.","STRING",true,"1","TUMOR_TISSUE_SITE","esca_tcga"
"Vial number","Vial number","STRING",false,"1","VIAL_NUMBER","esca_tcga"
"Patient's Vital Status","The survival state of the person.","STRING",true,"1","VITAL_STATUS","esca_tcga"
"Patient Weight","Weight measured in kilograms.","NUMBER",true,"1","WEIGHT","esca_tcga"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER",true,"1","AGE","esca_tcga_pan_can_atlas_2018"
"Neoplasm Disease Stage American Joint Committee on Cancer Code","The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.","STRING",true,"1","AJCC_PATHOLOGIC_TUMOR_STAGE","esca_tcga_pan_can_atlas_2018"
"American Joint Committee on Cancer Publication Version Type","The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.","STRING",true,"1","AJCC_STAGING_EDITION","esca_tcga_pan_can_atlas_2018"
"Aneuploidy Score","Aneuploidy Score","NUMBER",false,"1","ANEUPLOIDY_SCORE","esca_tcga_pan_can_atlas_2018"
"Cancer Type","Cancer Type","STRING",false,"1","CANCER_TYPE","esca_tcga_pan_can_atlas_2018"
"TCGA PanCanAtlas Cancer Type Acronym","Text field to hold cancer type acronym used by TCGA PanCanAtlas.","STRING",true,"1","CANCER_TYPE_ACRONYM","esca_tcga_pan_can_atlas_2018"
"Cancer Type Detailed","Cancer Type Detailed","STRING",false,"1","CANCER_TYPE_DETAILED","esca_tcga_pan_can_atlas_2018"
"Center of sequencing","Center of sequencing","STRING",true,"1","CENTER","esca_tcga_pan_can_atlas_2018"
"Last Communication Contact from Initial Pathologic Diagnosis Date","Time interval from the date of last followup to the date of initial pathologic diagnosis, represented as a calculated number of days..","NUMBER",true,"1","DAYS_LAST_FOLLOWUP","esca_tcga_pan_can_atlas_2018"
"Birth from Initial Pathologic Diagnosis Date","Time interval from a person's date of birth to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_BIRTH","esca_tcga_pan_can_atlas_2018"
"Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value","Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS","esca_tcga_pan_can_atlas_2018"
"Ethnicity Category","The text for reporting information about ethnicity.","STRING",true,"1","ETHNICITY","esca_tcga_pan_can_atlas_2018"
"Form completion date","Form completion date","STRING",true,"1","FORM_COMPLETION_DATE","esca_tcga_pan_can_atlas_2018"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER",false,"20","FRACTION_GENOME_ALTERED","esca_tcga_pan_can_atlas_2018"
"Person Gender","Patient gender.","STRING",true,"1","GENDER","esca_tcga_pan_can_atlas_2018"
"Neoplasm Histologic Grade","Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.","STRING",false,"1","GRADE","esca_tcga_pan_can_atlas_2018"
"Neoadjuvant Therapy Type Administered Prior To Resection Text","Text term to describe the patient's history of neoadjuvant treatment and the kind of treatment given prior to resection of the tumor.","STRING",true,"1","HISTORY_NEOADJUVANT_TRTYN","esca_tcga_pan_can_atlas_2018"
"ICD-10 Classification","10th revision of the International Statistical Classification of Diseases and Related Health Problems.","STRING",true,"1","ICD_10","esca_tcga_pan_can_atlas_2018"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_HISTOLOGY","esca_tcga_pan_can_atlas_2018"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The description of an anatomical region or of a body part._Named locations of, or within, the body._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_SITE","esca_tcga_pan_can_atlas_2018"
"Informed consent verified","Informed consent verified","STRING",true,"1","INFORMED_CONSENT_VERIFIED","esca_tcga_pan_can_atlas_2018"
"In PanCan Pathway Analysis","Patient Part of PanCan Pathway Analysis","STRING",true,"1","IN_PANCANPATHWAYS_FREEZE","esca_tcga_pan_can_atlas_2018"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","esca_tcga_pan_can_atlas_2018"
"New Neoplasm Event Post Initial Therapy Indicator","Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.","STRING",true,"1","NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT","esca_tcga_pan_can_atlas_2018"
"Oncotree Code","Oncotree Code","STRING",false,"1","ONCOTREE_CODE","esca_tcga_pan_can_atlas_2018"
"Other Patient ID","Legacy DMP patient identifier (DMPnnnn)","STRING",true,"1","OTHER_PATIENT_ID","esca_tcga_pan_can_atlas_2018"
"American Joint Committee on Cancer Metastasis Stage Code","Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).","STRING",true,"1","PATH_M_STAGE","esca_tcga_pan_can_atlas_2018"
"Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code","The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.","STRING",true,"1","PATH_N_STAGE","esca_tcga_pan_can_atlas_2018"
"American Joint Committee on Cancer Tumor Stage Code","Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).","STRING",true,"1","PATH_T_STAGE","esca_tcga_pan_can_atlas_2018"
"Person Neoplasm Cancer Status","Person neoplasm cancer status.","STRING",true,"1","PERSON_NEOPLASM_CANCER_STATUS","esca_tcga_pan_can_atlas_2018"
"Primary Lymph Node Presentation Assessment","Primary lymph node presentation assessment.","STRING",true,"1","PRIMARY_LYMPH_NODE_PRESENTATION_ASSESSMENT","esca_tcga_pan_can_atlas_2018"
"Prior Diagnosis","Prior diagnosis.","STRING",true,"1","PRIOR_DX","esca_tcga_pan_can_atlas_2018"
"Race Category","The text for reporting information about race.","STRING",true,"1","RACE","esca_tcga_pan_can_atlas_2018"
"Radiation Therapy","Radiation Therapy.","STRING",true,"1","RADIATION_THERAPY","esca_tcga_pan_can_atlas_2018"
"10p Status","Chromosome Arm-Calls: 10p","STRING",false,"1","STATUS_10P","esca_tcga_pan_can_atlas_2018"
"10q Status","Chromosome Arm-Calls: 10q","STRING",false,"1","STATUS_10Q","esca_tcga_pan_can_atlas_2018"
"11p Status","Chromosome Arm-Calls: 11p","STRING",false,"1","STATUS_11P","esca_tcga_pan_can_atlas_2018"
"11q Status","Chromosome Arm-Calls: 11q","STRING",false,"1","STATUS_11Q","esca_tcga_pan_can_atlas_2018"
"12p Status","Chromosome Arm-Calls: 12p","STRING",false,"1","STATUS_12P","esca_tcga_pan_can_atlas_2018"
"12q Status","Chromosome Arm-Calls: 12q","STRING",false,"1","STATUS_12Q","esca_tcga_pan_can_atlas_2018"
"13 (13q) Status","Chromosome Arm-Calls: 13 (13q)","STRING",false,"1","STATUS_13_13Q","esca_tcga_pan_can_atlas_2018"
"14 (14q) Status","Chromosome Arm-Calls: 14 (14q)","STRING",false,"1","STATUS_14_14Q","esca_tcga_pan_can_atlas_2018"
"15 (15q) Status","Chromosome Arm-Calls: 15 (15q)","STRING",false,"1","STATUS_15_15Q","esca_tcga_pan_can_atlas_2018"
"16p Status","Chromosome Arm-Calls: 16p","STRING",false,"1","STATUS_16P","esca_tcga_pan_can_atlas_2018"
"16q Status","Chromosome Arm-Calls: 16q","STRING",false,"1","STATUS_16Q","esca_tcga_pan_can_atlas_2018"
"17p Status","Chromosome Arm-Calls: 17p","STRING",false,"1","STATUS_17P","esca_tcga_pan_can_atlas_2018"
"17q Status","Chromosome Arm-Calls: 17q","STRING",false,"1","STATUS_17Q","esca_tcga_pan_can_atlas_2018"
"18p Status","Chromosome Arm-Calls: 18p","STRING",false,"1","STATUS_18P","esca_tcga_pan_can_atlas_2018"
"18q Status","Chromosome Arm-Calls: 18q","STRING",false,"1","STATUS_18Q","esca_tcga_pan_can_atlas_2018"
"19p Status","Chromosome Arm-Calls: 19p","STRING",false,"1","STATUS_19P","esca_tcga_pan_can_atlas_2018"
"19q Status","Chromosome Arm-Calls: 19q","STRING",false,"1","STATUS_19Q","esca_tcga_pan_can_atlas_2018"
"1p Status","Chromosome Arm-Calls: 1p","STRING",false,"1","STATUS_1P","esca_tcga_pan_can_atlas_2018"
"1q Status","Chromosome Arm-Calls: 1q","STRING",false,"1","STATUS_1Q","esca_tcga_pan_can_atlas_2018"
"20p Status","Chromosome Arm-Calls: 20p","STRING",false,"1","STATUS_20P","esca_tcga_pan_can_atlas_2018"
"20q Status","Chromosome Arm-Calls: 20q","STRING",false,"1","STATUS_20Q","esca_tcga_pan_can_atlas_2018"
"21 (21q) Status","Chromosome Arm-Calls: 21 (21q)","STRING",false,"1","STATUS_21_21Q","esca_tcga_pan_can_atlas_2018"
"22 (22q) Status","Chromosome Arm-Calls: 22 (22q)","STRING",false,"1","STATUS_22_22Q","esca_tcga_pan_can_atlas_2018"
"2p Status","Chromosome Arm-Calls: 2p","STRING",false,"1","STATUS_2P","esca_tcga_pan_can_atlas_2018"
"2q Status","Chromosome Arm-Calls: 2q","STRING",false,"1","STATUS_2Q","esca_tcga_pan_can_atlas_2018"
"3p Status","Chromosome Arm-Calls: 3p","STRING",false,"1","STATUS_3P","esca_tcga_pan_can_atlas_2018"
"3q Status","Chromosome Arm-Calls: 3q","STRING",false,"1","STATUS_3Q","esca_tcga_pan_can_atlas_2018"
"4p Status","Chromosome Arm-Calls: 4p","STRING",false,"1","STATUS_4P","esca_tcga_pan_can_atlas_2018"
"4q Status","Chromosome Arm-Calls: 4q","STRING",false,"1","STATUS_4Q","esca_tcga_pan_can_atlas_2018"
"5p Status","Chromosome Arm-Calls: 5p","STRING",false,"1","STATUS_5P","esca_tcga_pan_can_atlas_2018"
"5q Status","Chromosome Arm-Calls: 5q","STRING",false,"1","STATUS_5Q","esca_tcga_pan_can_atlas_2018"
"6p Status","Chromosome Arm-Calls: 6p","STRING",false,"1","STATUS_6P","esca_tcga_pan_can_atlas_2018"
"6q Status","Chromosome Arm-Calls: 6q","STRING",false,"1","STATUS_6Q","esca_tcga_pan_can_atlas_2018"
"7p Status","Chromosome Arm-Calls: 7p","STRING",false,"1","STATUS_7P","esca_tcga_pan_can_atlas_2018"
"7q Status","Chromosome Arm-Calls: 7q","STRING",false,"1","STATUS_7Q","esca_tcga_pan_can_atlas_2018"
"8p Status","Chromosome Arm-Calls: 8p","STRING",false,"1","STATUS_8P","esca_tcga_pan_can_atlas_2018"
"8q Status","Chromosome Arm-Calls: 8q","STRING",false,"1","STATUS_8Q","esca_tcga_pan_can_atlas_2018"
"9p Status","Chromosome Arm-Calls: 9p","STRING",false,"1","STATUS_9P","esca_tcga_pan_can_atlas_2018"
"9q Status","Chromosome Arm-Calls: 9q","STRING",false,"1","STATUS_9Q","esca_tcga_pan_can_atlas_2018"
"Subtype","Subtype","STRING",true,"1","SUBTYPE","esca_tcga_pan_can_atlas_2018"
"Tissue Prospective Collection Indicator","Tissue prospective collection indicator.","STRING",false,"1","TISSUE_PROSPECTIVE_COLLECTION_INDICATOR","esca_tcga_pan_can_atlas_2018"
"Tissue Retrospective Collection Indicator","Tissue retrospective collection indicator.","STRING",false,"1","TISSUE_RETROSPECTIVE_COLLECTION_INDICATOR","esca_tcga_pan_can_atlas_2018"
"Tissue Source Site","A Tissue Source Site collects samples (tissue, cell, or blood) and cliincal metadata which are then sent to tha Biospecimen Core Resource.","STRING",false,"1","TISSUE_SOURCE_SITE","esca_tcga_pan_can_atlas_2018"
"Tumor Disease Anatomic Site","Text term that describes the anatomic site of the tumor or disease.","STRING",false,"1","TUMOR_TISSUE_SITE","esca_tcga_pan_can_atlas_2018"
"Tumor Type","Tumor Type","STRING",false,"1","TUMOR_TYPE","esca_tcga_pan_can_atlas_2018"
"Patient Weight","Weight measured in kilograms.","NUMBER",true,"1","WEIGHT","esca_tcga_pan_can_atlas_2018"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER",true,"1","AGE","escc_icgc"
"Cancer Type","Cancer Type","STRING",false,"1","CANCER_TYPE","escc_icgc"
"Cancer Type Detailed","Cancer Type Detailed","STRING",false,"1","CANCER_TYPE_DETAILED","escc_icgc"
"Drinker","Drinker.","STRING",true,"1","DRINKER","escc_icgc"
"Neoplasm Histologic Grade","Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.","STRING",false,"1","GRADE","escc_icgc"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","escc_icgc"
"Oncotree Code","Oncotree Code","STRING",false,"1","ONCOTREE_CODE","escc_icgc"
"Overall Survival (Months)","Overall survival in months since initial diagonosis.","NUMBER",true,"1","OS_MONTHS","escc_icgc"
"Overall Survival Status","Overall patient survival status.","STRING",true,"1","OS_STATUS","escc_icgc"
"Platform","Platform.","STRING",false,"1","PLATFORM","escc_icgc"
"Sex","Sex","STRING",true,"1","SEX","escc_icgc"
"Smoker","Indicates if person is a smoker.","STRING",true,"1","SMOKER","escc_icgc"
"TNM","TNM.","STRING",false,"1","TNM","escc_icgc"
"Tumor Stage","Tumor stage.","STRING",false,"1","TUMOR_STAGE","escc_icgc"
