type_of_cancer_id	name
prsc	Prostate Squamous Cell Carcinoma
prscc	Prostate Small Cell Carcinoma
psc	Serous Cystadenoma of the Pancreas
pscc	Penile Squamous Cell Carcinoma
psec	Peritoneal Serous Carcinoma
pstad	Papillary Stomach Adenocarcinoma
pstt	Placental Site Trophoblastic Tumor
pt	Phyllodes Tumor of the Breast
ptad	Pituitary Adenoma
ptca	Pituitary Carcinoma
ptcl	Peripheral T-Cell lymphoma, NOS
ptcy	Pituicytoma
ptes	Proximal-Type Epithelioid Sarcoma
ptfl	Pediatric-Type Follicular Lymphoma
pth	Parathyroid Cancer
pthc	Parathyroid Carcinoma
ptld	Posttransplant Lymphoproliferative Disorders
ptpr	Papillary Tumor of the Pineal Region
pv	Polycythemia Vera
pvmf	Polycythaemia Vera Myelofibrosis
pxa	Pleomorphic Xanthoastrocytoma
raml	Renal Angiomyolipoma
ras	Radiation-Associated Sarcoma
rbl	Retinoblastoma
rcc	Renal Cell Carcinoma
rcsnos	Round Cell Sarcoma, NOS
rcyc	Refractory Cytopenia of Childhood
rdd	Rosai-Dorfman Disease
read	Rectal Adenocarcinoma
rgnt	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle
rhm	Rhabdoid Meningioma
rlclc	Large Cell Lung Carcinoma With Rhabdoid Phenotype
rms	Rhabdomyosarcoma
rnet	Renal Neuroendocrine Tumor
rocy	Renal Oncocytoma
rscc	Renal Small Cell Carcinoma
rwdnet	Well-Differentiated Neuroendocrine Tumor of the Rectum
saad	Salivary Adenocarcinoma
saca	Salivary Carcinoma
sarcl	Sarcomatoid Carcinoma of the Lung
sarcnos	Sarcoma, NOS
sbc	Small Bowel Cancer
sbl	Sialoblastoma
sblu	Splenic B-Cell Lymphoma/Leukemia, Unclassifiable
sbmov	Serous Borderline Ovarian Tumor, Micropapillary
sbov	Serous Borderline Ovarian Tumor
sbwdnet	Small Bowel Well-Differentiated Neuroendocrine Tumor
scb	Sarcomatoid Carcinoma of the Urinary Bladder
scbc	Small Cell Bladder Cancer
scce	Small Cell Carcinoma of the Cervix
sccnos	Squamous Cell Carcinoma, NOS
scco	Small Cell Carcinoma of the Ovary
sccrcc	Renal Clear Cell Carcinoma with Sarcomatoid Features
scemu	Signet Ring Mucinous Carcinoma
scgbc	Small Cell Gallbladder Carcinoma
scgbm	Small Cell Glioblastoma
schw	Schwannoma
sclc	Small Cell Lung Cancer
scoah	Spindle Cell Oncocytoma of the Adenohypophysis
scos	Small Cell Osteosarcoma
scrms	Spindle Cell Rhabdomyosarcoma
scsrms	Spindle Cell/Sclerosing Rhabdomyosarcoma
scst	Sex Cord Stromal Tumor
sct	Steroid Cell Tumor, NOS
scup	Small Cell Carcinoma of Unknown Primary
sdca	Salivary Duct Carcinoma
sdrpl	Splenic Diffuse Red Pulp Small B-Cell Lymphoma
seba	Sebaceous Carcinoma
sebvtlc	Systemic EBV Positive T-Cell Lymphoma of Childhood
secos	Secondary Osteosarcoma
sef	Sclerosing Epithelioid Fibrosarcoma
selt	Sellar Tumor
sem	Seminoma
sft	Solitary Fibrous Tumor/Hemangiopericytoma
sftcns	Solitary Fibrous Tumor of the Central Nervous System
sgad	Sweat Gland Adenocarcinoma
sgo	Salivary Gland Oncocytoma
sgttl	Salivary Gland-Type Tumor of the Lung
sic	Small Intestinal Carcinoma
skac	Skin Adnexal Carcinoma
skcm	Cutaneous Melanoma
skcn	Congenital Nevus
skin	Skin
sklmm	Lentigo Maligna Melanoma
slct	Sertoli-Leydig Cell Tumor
sm	Systemic Mastocytosis
smahn	Systemic Mastocytosis with an Associated Hematological Neoplasm
smmcl	Mast Cell Leukemia
smn	Smooth Muscle Neoplasm, NOS
smzl	Splenic Marginal Zone Lymphoma
sna	Sinonasal Adenocarcinoma
snsc	Sinonasal Squamous Cell Carcinoma
snuc	Sinonasal Undifferentiated Carcinoma
soc	Serous Ovarian Cancer
soft_tissue	Soft Tissue
spb	Solitary Plasmacytoma of Bone
spc	Solid Papillary Carcinoma of the Breast
spcc	Spindle Cell Carcinoma of the Lung
spdac	Poorly Differentiated Carcinoma of the Stomach
spir	Spiroma/Spiradenoma
spn	Solid Pseudopapillary Neoplasm of the Pancreas
sptcl	Subcutaneous Panniculitis-Like T-Cell Lymphoma
spzm	Spitzoid Melanoma
srap	Signet Ring Cell Type of the Appendix
srcbc	Plasmacytoid/Signet Ring Cell Bladder Carcinoma
srcc	Sarcomatoid Renal Cell Carcinoma
srccr	Signet Ring Cell Adenocarcinoma of the Colon and Rectum
ss	Sezary Syndrome
ssm	Smoldering Systemic Mastocytosis
ssrcc	Signet Ring Cell Carcinoma of the Stomach
stad	Stomach Adenocarcinoma
stas	Adenosquamous Carcinoma of the Stomach
stmyec	Soft Tissue Myoepithelial Carcinoma
stomach	Esophagus/Stomach
stsc	Small Cell Carcinoma of the Stomach
sube	Subependymoma
swdnet	Well-Differentiated Neuroendocrine Tumors of the Stomach
syns	Synovial Sarcoma
tac	Tubular Adenoma of the Colon
tam	Transient Abnormal Myelopoiesis
taml	Therapy-Related Acute Myeloid Leukemia
tcca	Choriocarcinoma
teos	Telangiectatic Osteosarcoma
testis	Testis
tet	Thymic Epithelial Tumor
tgct	Tenosynovial Giant Cell Tumor Diffuse Type
thap	Anaplastic Thyroid Cancer
thfo	Follicular Thyroid Cancer
thhc	Hurthle Cell Thyroid Cancer
thme	Medullary Thyroid Cancer
thpa	Papillary Thyroid Cancer
thpd	Poorly Differentiated Thyroid Cancer
thrlbcl	T-Cell/Histiocyte-Rich Large B-Cell Lymphoma
thyc	Thymic Carcinoma
thym	Thymoma
thymus	Thymus
thyroid	Thyroid
tissue	Tissue
tlgl	T-Cell Large Granular Lymphocytic Leukemia
tll	T-Lymphoblastic Leukemia/Lymphoma
tlym	Testicular Lymphoma
tmds	Therapy-Related Myelodysplastic Syndrome
tmeso	Testicular Mesothelioma
tmn	Therapy-Related Myeloid Neoplasms
tmt	Teratoma with Malignant Transformation
tnet	Thymic Neuroendocrine Tumor
tpll	T-Cell Prolymphocytic Leukemia
trcc	Translocation-Associated Renal Cell Carcinoma
tscst	Sex Cord Stromal Tumor
tstad	Tubular Stomach Adenocarcinoma
tt	Teratoma
tyst	Yolk Sac Tumor
ua	Urachal Adenocarcinoma
uad	Urethral Adenocarcinoma
uas	Uterine Adenosarcoma
uasc	Uterine Adenosquamous Carcinoma
uca	Urethral Cancer
ucca	Choriocarcinoma
uccc	Uterine Clear Cell Carcinoma
ucec	Endometrial Carcinoma
ucp	Undifferentiated Carcinoma of the Pancreas
ucs	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor
ucu	Urethral Urothelial Carcinoma
uddc	Uterine Dedifferentiated Carcinoma
udmn	Undifferentiated Malignant Neoplasm
uec	Uterine Endometrioid Carcinoma
uelms	Uterine Epithelioid Leiomyosarcoma
uesl	Undifferentiated Embryonal Sarcoma of the Liver
ulm	Uterine Leiomyoma
ulms	Uterine Leiomyosarcoma
um	Uveal Melanoma
umc	Uterine Mucinous Carcinoma
umec	Uterine Mixed Endometrial Carcinoma
umlms	Uterine Myxoid Leiomyosarcoma
umnc	Uterine Mesonephric Carcinoma
unec	Uterine Neuroendocrine Carcinoma
upa	Urothelial Papilloma
updc	Poorly Differentiated Carcinoma of the Uterus
upecoma	Uterine Perivascular Epithelioid Cell Tumor
urca	Urachal Carcinoma
urcc	Unclassified Renal Cell Carcinoma
urmm	Mucosal Melanoma of the Urethra
usarc	Uterine Sarcoma/Mesenchymal
usc	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma
uscc	Urethral Squamous Cell Carcinoma
usmt	Uterine Smooth Muscle Tumor
ustad	Undifferentiated Stomach Adenocarcinoma
ustump	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential
uterus	Uterus
utuc	Upper Tract Urothelial Carcinoma
uuc	Uterine Undifferentiated Carcinoma
uus	Undifferentiated Uterine Sarcoma
va	Vaginal Adenocarcinoma
vdys	Dysgerminoma
vgce	Villoglandular Adenocarcinoma of the Cervix
vgct	Germ Cell Tumor of the Vulva
vimt	Immature Teratoma
vma	Mucinous Adenocarcinoma of the Vulva/Vagina
vmgct	Mixed Germ Cell Tumor
vmm	Mucosal Melanoma of the Vulva/Vagina
vmt	Mature Teratoma
voec	Embryonal Carcinoma
vpdc	Poorly Differentiated Vaginal Carcinoma
vpe	Polyembryoma
vpscc	Verrucous Penile Squamous Cell Carcinoma
vsc	Squamous Cell Carcinoma of the Vulva/Vagina
vulva	Vulva/Vagina
vyst	Yolk Sac Tumor
wdls	Well-Differentiated Liposarcoma
wdtc	Well-Differentiated Thyroid Cancer
wm	Waldenstrom Macroglobulinemia
wpscc	Warty Penile Squamous Cell Carcinoma
wt	Wilms' Tumor
