cancer_study_id	name	description
prad_mskcc_2017	MSK-IMPACT Clinical Sequencing Cohort in Prostate Cancer (MSK, JCO Precision Oncology 2017)	Targeted sequencing of clinical cases via MSK-IMPACT for prostate cancer (Abida et al, JCO Precision Oncology 2017).
mixed_allen_2018	MSS Mixed Solid Tumors (Van Allen, 2018)	Whole exome sequencing molecular profiling of tumors across multiple cancer types including melanoma, non-small cell lung cancer, head and neck cancer, and bladder cancer. Generated by the Van Allen Lab, 2018.
mpnst_mskcc	Malignant Peripheral Nerve Sheath Tumor (MSKCC, Nat Genet 2014)	Exome profiling of 17 malignant peripheral nerve sheath tumors.
plmeso_nyu_2015	Malignant Pleural Mesothelioma (NYU, Cancer Res 2015)	Mutation data from whole-exome sequencing of 22 malignant pleural mesotheliomas (PLMESO) and matched blood samples.
mcl_idibips_2013	Mantle Cell Lymphoma (IDIBIPS, PNAS 2013)	Whole exome sequencing of 29 primary mantle cell lymphomas.
mbl_broad_2012	Medulloblastoma (Broad, Nature 2012)	Comprehensive profiling of 92 medulloblastoma samples from the Broad Institute.
mbl_icgc	Medulloblastoma (ICGC, Nature 2012)	Comprehensive profiling of 125 matched tumor and germline medulloblastoma samples
mbl_pcgp	Medulloblastoma (PCGP, Nature 2012)	Whole genome sequencing of 37 medulloblastoma samples from the Pediatric Cancer Genome Project (PCGP), a joint project by St. Jude Children's Research Hospital and Washington University.
mbl_sickkids_2016	Medulloblastoma (Sickkids, Nature 2016)	Mutation data from whole-genome sequencing (WGS) of 46 recurrent medulloblastoma samples.
skcm_broad_dfarber	Melanoma (Broad/Dana Farber, Nature 2012)	Somatic Mutation data from 25 Whole Genome Sequenced metastatic melanoma samples
lgggbm_tcga_pub	Merged Cohort of LGG and GBM (TCGA, Cell 2016)	Whole-exome sequencing from TCGA LGG and GBM cases
meso_tcga_pan_can_atlas_2018	Mesothelioma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
meso_tcga	Mesothelioma (TCGA, Provisional)	TCGA Mesothelioma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data at the <A HREF="https://portal.gdc.cancer.gov/legacy-archive/search/f?filters=%7B%22op%22:%22and%22,%22content%22:%5B%7B%22op%22:%22in%22,%22content%22:%7B%22field%22:%22cases.project.program.name%22,%22value%22:%5B%22TCGA%22%5D%7D%7D,%7B%22op%22:%22in%22,%22content%22:%7B%22field%22:%22cases.project.project_id%22,%22value%22:%5B%22TCGA-MESO%22%5D%7D%7D,%7B%22op%22:%22in%22,%22content%22:%7B%22field%22:%22files.data_format%22,%22value%22:%5B%22MAF%22%5D%7D%7D%5D%7D">GDC</A>.
egc_msk_2017	Metastatic Esophagogastric Cancer (MSKCC, Cancer Discovery 2017)	Prospective genomic profiling of 341 samples from 305 metastatic esophagogastric cancer patients
prad_mich	Metastatic Prostate Adenocarcinoma (MCTP, Nature 2012)	Comprehensive profiling of 61 prostate cancer samples, including 50 metastatic CRPCs and 11 high-grade localized prostate cancers. Generated by Arul Chinnaiyan's and Scott Tomlins' labs at the University of Michigan.
prad_su2c_2015	Metastatic Prostate Cancer, SU2C/PCF Dream Team (Robinson et al., Cell 2015)	Comprehensive analysis of 150 metastatic prostate cancer samples by the SU2C/PCF Dream Team
mm_broad	Multiple Myeloma (Broad, Cancer Cell 2014)	Whole exome/genome sequencing of paired tumor/normal samples from multiple myeloma patients
ccrcc_irc_2014	Multiregion Sequencing of Clear Cell Renal Cell Carcinoma (IRC, Nat Genet 2014)	Mutation data from multi region exome sequencing of 10 clear cell renal cell carcinomas (ccRCCs)
brca_igr_2015	Mutational profiles of metastatic breast cancer (France, 2016)	Whole-exome sequencing was performed on 216 tumor-normal (blood) pairs from metastatic breast cancer patients who underwent a biopsy in the context of the SAFIR01/SAFIR02 (Unicancer, France), SHIVA (Institut Curie, France) or MOSCATO (Gustave Roussy, France) prospective trials.
mds_tokyo_2011	Myelodysplasia (Tokyo, Nature 2011)	Whole exome sequencing of 29 myelodysplasia samples from the University of Tokyo.
cellline_nci60	NCI-60 Cell Lines (NCI, Cancer Res. 2012)	NCI-60 cell line project; raw data at <A HREF="http://discover.nci.nih.gov/cellminer/loadDownload.do">CellMiner</A>.
odg_msk_2017	NGS in Anaplastic Oligodendroglioma and Anaplastic Oligoastrocytomas tumors (MSK, Neuro Oncol 2017)	Genomic characterization using next generation sequencing (NGS) in Anaplastic Oligodendroglioma and Anaplastic Oligoastrocytomas.
npc_nusingapore	Nasopharyngeal Carcinoma (Singapore, Nat Genet 2014)	Whole genome sequencing of 56 NPC tumor / normal pairs. Generated by the Cancer Science Institute of Singapore, National University of Singapore.
nbl_amc_2012	Neuroblastoma (AMC Amsterdam, Nature 2012)	Whole genome sequencing of 87 neuroblastoma samples from the Academic Medical Center, Amsterdam.
nbl_broad_2013	Neuroblastoma (Broad Institute 2013)	Whole Genome and Whole Exome sequencing of 240 high-risk neuroblastoma cases.
nbl_ucologne_2015	Neuroblastoma (Broad, Nat Genet 2013)	Mutation data from whole-genome sequencing of 56 neuroblastoma samples
nepc_wcm_2016	Neuroendocrine Prostate Cancer (Trento/Cornell/Broad 2016)	Whole exome and RNA Seq data of castration resistant adenocarcinoma and castration resistant neuroendocrine prostate cancer (somatic mutations and copy number aberrations)
skcm_vanderbilt_mskcc_2015	Next generation sequencing (NGS) of pre-treatment metastatic melanoma samples (MSK, JCO Precision Oncology 2017)	Next generation sequencing (NGS) of pre-treatment tumor to identify co-altered genes that predict for intrinsic resistance to BRAF inhibitor therapy in melanoma patients as a prelude to rational combination strategies.
nhl_bcgsc_2011	Non-Hodgkin Lymphoma (BCGSC, Nature 2011)	Whole Genome/Exome sequencing of 14 NHL cases.
nsclc_pd1_msk_2018	Non-Small Cell Lung Cancer (MSK, JCO 2018)	NGS sequencing of 240 NSCLC cases treated at MSKCC with anti-PD-(L)1 based therapy using the MSK-IMPACT assay.
blca_nmibc_2017	Nonmuscle Invasive Bladder Cancer (MSK Eur Urol 2017)	Genomic Landscape and Predictors of Response for High Risk NMIBC
hnsc_mdanderson_2013	Oral Squamous Cell Carcinoma (MD Anderson, Cancer Discov 2013)	Comprehensive profiling of 40 oral squamous cell carcinoma samples from MD Anderson.
ov_tcga_pub	Ovarian Serous Cystadenocarcinoma (TCGA, Nature 2011)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Serous Ovarian Cancer project. 489 cases.<br> <a href="https://tcga-data.nci.nih.gov/docs/publications/ov_2011/">Raw data via the TCGA Data Portal</a>.
ov_tcga_pan_can_atlas_2018	Ovarian Serous Cystadenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
ov_tcga	Ovarian Serous Cystadenocarcinoma (TCGA, Provisional)	TCGA Ovarian Serous Cystadenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/OV/20160128/gdac.broadinstitute.org_OV.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
mel_tsam_liang_2017	Paired-exome sequencing of acral melanoma (TGEN, Genome Res 2017)	Comprehensive genomic and transcriptomic analysis of ALM patients.
nsclc_tcga_broad_2016	Pan-Lung Cancer (TCGA, Nat Genet 2016)	Somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas.
paad_icgc	Pancreatic Adenocarcinoma (ICGC, Nature 2012)	Comprehensive profiling of 99 pancreatic cancer samples. Generated by ICGC.
paad_qcmg_uq_2016	Pancreatic Adenocarcinoma (QCMG, Nature 2016)	342 primary tumours and 41 patient-derived cell lines underwent whole genome sequencing (WGS) when tumor cellularity was >40% (nâ??=â??179), or deep-exome sequencing (nâ??=â??204) for samples with a cellularity of 12â??40%.
paad_tcga_pan_can_atlas_2018	Pancreatic Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
paad_tcga	Pancreatic Adenocarcinoma (TCGA, Provisional)	TCGA Pancreatic Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/PAAD/20160128/gdac.broadinstitute.org_PAAD.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
paad_utsw_2015	Pancreatic Cancer (UTSW, Nat Commun 2015)	Whole exome sequencing of 109 micro-dissected pancreatic cancer cases and normal control tissue.
panet_jhu_2011	Pancreatic Neuroendocrine Tumors (Johns Hopkins University, Science 2011)	Whole exome sequencing of 10 pancreatic neuroendocrine tumor patients. <A HREF="https://www.sciencemag.org/content/331/6021/1199/suppl/DC1">
thca_tcga_pub	Papillary Thyroid Carcinoma (TCGA, Cell 2014)	TCGA Papillary Thyroid Carcinoma, containing 230 samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=THCA&diseaseName=Thyroid%20carcinoma">NCI</A>.
all_phase2_target_2018_pub	Pediatric Acute Lymphoid Leukemia - Phase II (TARGET, 2018)	Comprehensive profiling of ALL Phase 2 samples. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p
aml_target_2018_pub	Pediatric Acute Myeloid Leukemia (TARGET, 2018)	Comprehensive profiling of TARGET-AML samples. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p>
es_dfarber_broad_2014	Pediatric Ewing Sarcoma (DFCI, Cancer Discov 2014)	Whole exome sequencing of 96 pediatric Ewing Sarcoma tumors and 11 cell lines.
mixed_pipseq_2017	Pediatric Mixed Tumors (PIP-Seq 2017)	Whole exome sequencing of 101 high-risk pediatric cancer patients
nbl_target_2018_pub	Pediatric Neuroblastoma (TARGET, 2018)	Comprehensive profiling of 1089 NBL samples. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p>
pediatric_dkfz_2017	Pediatric Pan-Cancer (DKFZ - German Cancer Consortium,  2017)	Comprehensive genomic profiling of 961 Pediatric Cancer samples. Data generated from Pfister Lab & DKFZ/German Cancer Consortium.
rt_target_2018_pub	Pediatric Rhabdoid Tumor (TARGET, 2018)	Comprehensive profiling of 72 patients with Rhabdoid Tumor. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p>
wt_target_2018_pub	Pediatric Wilms' Tumor (TARGET, 2018)	Comprehensive profiling of 657 Wilms' Tumor samples. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p>
pcpg_tcga_pan_can_atlas_2018	Pheochromocytoma and Paraganglioma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
pcpg_tcga	Pheochromocytoma and Paraganglioma (TCGA, Provisional)	TCGA Pheochromocytoma and Paraganglioma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/PCPG/20160128/gdac.broadinstitute.org_PCPG.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
thyroid_mskcc_2016	Poorly-Differentiated and Anaplastic Thyroid Cancers (MSKCC, JCI 2016)	Poorly-Differentiated and Anaplastic Thyroid Cancers (MSKCC, J Clin Invest 2016)
pcnsl_mayo_2015	Primary Central Nervous System Lymphoma (Mayo Clinic, Clin Cancer Res 2015)	Mutation data from whole exome sequencing (WXS) of 19 immunocompetent primary central nervous system lymphoma (PCNSL) samples.
prad_broad_2013	Prostate Adenocarcinoma (Broad/Cornell, Cell 2013)	Comprehensive profiling of 57 prostate cancer samples. Generated by Levi Garraway's lab at the Broad Institute and Mark Rubin's lab at Cornell.
prad_broad	Prostate Adenocarcinoma (Broad/Cornell, Nat Genet 2012)	Comprehensive profiling of 112 prostate cancer samples. Generated by Levi Garraway's lab at the Broad Institute and Mark Rubin's lab at Cornell.
prad_eururol_2017	Prostate Adenocarcinoma (EurUrol, 2017)	Whole-genome and Transcriptome Sequencing of 65 Prostate Adenocarcinoma Patients. Generated by the Sun Lab 2017.
prad_fhcrc	Prostate Adenocarcinoma (Fred Hutchinson CRC, Nat Med 2016)	Comprehensive profiling of prostate cancer samples. Generated by Peter Nelson's lab at the Fred Hutchinson Cancer Research Center.
prad_mskcc	Prostate Adenocarcinoma (MSKCC, Cancer Cell 2010)	MSKCC Prostate Oncogenome Project. 181 primary, 37 metastatic prostate cancer samples, 12 prostate cancer cell lines and xenografts.<br><a href="http://cbio.mskcc.org/cancergenomics/prostate/data/">Normalized flat data files</a>. <a href="http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21032">Raw data via GEO (GSE21032)</a>.
prad_p1000	Prostate Adenocarcinoma (MSKCC/DFCI, Nature Genetics 2018)	Whole Exome Sequencing of 1013 prostate cancer samples.
prad_tcga_pub	Prostate Adenocarcinoma (TCGA, Cell 2015)	Integrated profiling of 333 primary prostate adenocarcinoma samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/docs/publications/prad_2015/">NCI</A>.
prad_tcga_pan_can_atlas_2018	Prostate Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
prad_tcga	Prostate Adenocarcinoma (TCGA, Provisional)	TCGA Prostate Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/PRAD/20160128/gdac.broadinstitute.org_PRAD.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
prad_mskcc_2014	Prostate Adenocarcinoma CNA study (MSKCC, PNAS 2014)	Copy-number profiling of 103 primary prostate cancer samples from MSKCC. <a href="http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54691">Raw data via GEO (GSE54691)</a>.
prad_mskcc_cheny1_organoids_2014	Prostate Adenocarcinoma Organoids (MSKCC, Cell 2014)	Exome profiling of prostate cancer samples and matched organoids.
read_tcga_pan_can_atlas_2018	Rectum Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
hnc_mskcc_2016	Recurrent and Metastatic Head & Neck Cancer (MSKCC, JAMA Oncol 2016)	Targeted sequencing of 151 patients with advanced, treatment resistant head and neck tumors
nccrcc_genentech_2014	Renal Non-Clear Cell Carcinoma (Genentech, Nat Genet 2014)	Exome sequencing of 139 Renal Non-Clear Cell Carcinoma (NCCRCC) samples.
mrt_bcgsc_2016	Rhabdoid Cancer (BCGSC, Cancer Cell 2016)	Whole-genome sequencing of tumor-normal sample pairs from 40 patients with Malignant Rhabdoid Cancer.
rms_nih_2014	Rhabdomyosarcoma (NIH, Cancer Discov 2014)	Mutation data from WGS and/or WXS of 43 rhabdomyosarcoma samples.
summit_2018	SUMMIT (Nature, 2018)	Findings of a multi-histology, genomically selected, 'basket' study utilizing the pan-HER kinase inhibitor neratinib.
sarc_mskcc	Sarcoma (MSKCC/Broad, Nat Genet 2010)	The Sarcoma Genome Project, <a href="http://www.mskcc.org/">MSKCC</a> and <a href="http://www.broadinstitute.org/">The Broad Institute</a>. 207 high-grade adult soft tissue sarcomas across seven subtypes of disease.<br> <a href="http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21124">Raw data via GEO (GSE21124)</a>.
sarc_tcga_pan_can_atlas_2018	Sarcoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
sarc_tcga	Sarcoma (TCGA, Provisional)	TCGA Sarcoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/SARC/20160128/gdac.broadinstitute.org_SARC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
skcm_broad	Skin Cutaneous Melanoma (Broad, Cell 2012)	Comprehensive profiling of 121 melanoma samples. Generated by the Broad Institute.
skcm_tcga_pan_can_atlas_2018	Skin Cutaneous Melanoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
skcm_tcga	Skin Cutaneous Melanoma (TCGA, Provisional)	TCGA Skin Cutaneous Melanoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/SKCM/20160128/gdac.broadinstitute.org_SKCM.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
skcm_yale	Skin Cutaneous Melanoma (Yale, Nat Genet 2012)	Exome sequencing of 91 melanoma samples. Generated by Yale.
skcm_broad_brafresist_2012	Skin Cutaneous Melanoma(Broad, Cancer Discov 2014)	Sequencing of 44 melanoma patients pre and post vemurafenib treatment. Generated by the Broad Institute.
scco_mskcc	Small Cell Carcinoma of the Ovary (MSKCC, Nat Genet 2014)	Targeted sequencing of 12 SCCO samples.
sclc_clcgp	Small Cell Lung Cancer (CLCGP, Nat Genet 2012)	Comprehensive profiling of 29 small cell lung cancer samples. Generated by the Clinical Lung Cancer Genome Project.
sclc_jhu	Small Cell Lung Cancer (Johns Hopkins, Nat Genet 2012)	Comprehensive profiling of 36 primary human SCLC tumors and 17 matched SCLC and lymphoblastoid cell lines. Generated by Johns Hopkins.
sclc_ucologne_2015	Small Cell Lung Cancer (U Cologne, Nature 2015)	Comprehensive WGS profiling of 110 human SCLC specimens.
sclc_cancercell_gardner_2017	Small-Cell Lung Cancer (Multi-Institute 2017)	Whole Exome Sequencing of paired chemosensitive and chemoresistant SCLC PDX.
stad_pfizer_uhongkong	Stomach Adenocarcinoma (Pfizer and UHK, Nat Genet 2014)	Whole genome sequencing of 100 tumor-normal pairs from the University of Hong Kong and Pfizer.
stad_tcga_pub	Stomach Adenocarcinoma (TCGA, Nature 2014)	TCGA Stomach Adenocarcinoma, containing 295 samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/docs/publications/stad_2014/">NCI</A>.
stad_tcga_pan_can_atlas_2018	Stomach Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
stad_tcga	Stomach Adenocarcinoma (TCGA, Provisional)	TCGA Stomach Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/STAD/20160128/gdac.broadinstitute.org_STAD.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
stad_utokyo	Stomach Adenocarcinoma (U Tokyo, Nat Genet 2014)	Whole exome sequencing of 30 diffuse-type gastric adenocarcinoma samples from the University of Tokyo.
stad_uhongkong	Stomach Adenocarcinoma (UHK, Nat Genet 2011)	Exome sequencing of 22 gastric cancer samples.
stes_tcga_pub	TCGA data for Esophagus-Stomach Cancers (TCGA, Nature 2017)	TCGA data for Esophagus-Stomach Cancers.
urcc_mskcc_2016	Targeted gene sequencing in 62 high-grade primary Unclassified Renal Cell Carcinoma (MSK, Nature 2016)	Molecular Analysis of Unclassified Renal Cell Carcinoma
crc_msk_2018	Targeted sequencing of 1134 samples from metastatic colorectal cancer samples (MSK, Cancer Cell 2018)	
utuc_mskcc_2013	Targeted sequencing of upper tract urothelial cancer samples (MSK, Eur Urol 2013)	Genomic Characterization using next-generation sequencing of Upper Tract Urothelial Carcinoma.
tgct_tcga	Testicular Germ Cell Cancer (TCGA, Provisional)	TCGA Testicular Germ Cell Cancer; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/TGCT/20160128/gdac.broadinstitute.org_TGCT.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
tgct_tcga_pan_can_atlas_2018	Testicular Germ Cell Tumors (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
angs_project_painter_2018	The Angiosarcoma Project (Provisional, September 2018)	The Angiosarcoma Project is a patient-driven initiative. This study includes genomic data, patient-reported data (pre-pended as PRD), medical record data (MedR), and pathology report data (PATH). As these data were generated in a research, not a clinical, laboratory, they are for research purposes only and cannot be used to inform clinical decision-making. All annotations have been de-identified. More information is available at www.ascproject.org. Questions about these data can be directed to data@ascproject.org.
brca_mbcproject_wagle_2017	The Metastatic Breast Cancer Project (Provisional, April 2018)	The Metastatic Breast Cancer Project is a patient-driven initiative. This study includes genomic data, patient-reported data (pre-pended as PRD), medical record data (MedR), and pathology report data (PATH). All of the titles and descriptive text for the clinical data elements have been finalized in partnership with numerous patients in the project. As these data were generated in a research, not a clinical, laboratory, they are for research purposes only and cannot be used to inform clinical decision-making. All annotations have been de-identified. More information is available at www.mbcproject.org. Questions about these data can be directed to data@mbcproject.org.
tet_nci_2014	Thymic Epithelial Tumors (NCI, Nat Genet 2014)	Whole exome sequencing of 28 thymic epithelial tumors.
thym_tcga_pan_can_atlas_2018	Thymoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
thym_tcga	Thymoma (TCGA, Provisional)	TCGA Thymoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/THYM/20160128/gdac.broadinstitute.org_THYM.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
thca_tcga_pan_can_atlas_2018	Thyroid Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
thca_tcga	Thyroid Carcinoma (TCGA, Provisional)	TCGA Thyroid Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/THCA/20160128/gdac.broadinstitute.org_THCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
blca_cornell_2016	Urothelial Carcinoma (Cornell/Trenton, Nat Gen 2016)	Whole-exome sequencing (Illumina HiSeq 2500) of 72 tumor samples in Urothelial Carcinoma.
ucs_jhu_2014	Uterine Carcinosarcoma (Johns Hopkins University, Nat Commun 2014)	Whole exome sequencing (WXS) of 22 uterine carcinosarcoma/uterine malignant mixed Mullerian (UCS) tumors. <A HREF="http://www.nature.com/ncomms/2014/140919/ncomms6006/extref/ncomms6006-s1.pdf">
ucs_tcga_pan_can_atlas_2018	Uterine Carcinosarcoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
ucs_tcga	Uterine Carcinosarcoma (TCGA, Provisional)	TCGA Uterine Carcinosarcoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/UCS/20160128/gdac.broadinstitute.org_UCS.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
uccc_nih_2017	Uterine Clear Cell Carcinoma (NIH, Cancer 2017)	Whole exome sequencing of paired tumor-normal DNAs from 16 cases of clear cell endometrial tumors.
