category,name,description,sampleListId,studyId
"all_cases_in_study","All Tumors","All tumor samples (48 samples)","dlbc_tcga_pan_can_atlas_2018_all","dlbc_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (48 samples)","dlbc_tcga_pan_can_atlas_2018_log2CNA","dlbc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (37 samples)","dlbc_tcga_pan_can_atlas_2018_3way_complete","dlbc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (338 samples)","egc_msk_2017_sequenced","egc_msk_2017"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (338 samples)","egc_msk_2017_cnaseq","egc_msk_2017"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (342 samples)","egc_msk_2017_cna","egc_msk_2017"
"all_cases_in_study","All Tumors","All tumor samples (342 samples)","egc_msk_2017_all","egc_msk_2017"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (78 samples)","egc_tmucih_2015_sequenced","egc_tmucih_2015"
"all_cases_in_study","All Tumors","All tumor samples (78 samples)","egc_tmucih_2015_all","egc_tmucih_2015"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (146 samples)","esca_broad_sequenced","esca_broad"
"all_cases_in_study","All Tumors","All tumor samples (151 samples)","esca_broad_all","esca_broad"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (202 samples)","esca_tcga_methylation_hm450","esca_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (186 samples)","esca_tcga_methylation_all","esca_tcga"
"all_cases_with_mutation_data","All Sequenced Tumors","All sequenced tumor samples (185 samples)","esca_tcga_sequenced","esca_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (184 samples)","esca_tcga_cnaseq","esca_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (184 samples)","esca_tcga_cna","esca_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (185 samples)","esca_tcga_rna_seq_v2_mrna","esca_tcga"
"all_cases_in_study","All Tumors","All tumor samples (202 samples)","esca_tcga_all","esca_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (183 samples)","esca_tcga_3way_complete","esca_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (126 samples)","esca_tcga_rppa","esca_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (182 samples)","esca_tcga_pan_can_atlas_2018_sequenced","esca_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (182 samples)","esca_tcga_pan_can_atlas_2018_cnaseq","esca_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (182 samples)","esca_tcga_pan_can_atlas_2018_cna","esca_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (181 samples)","esca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","esca_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (182 samples)","esca_tcga_pan_can_atlas_2018_all","esca_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (182 samples)","esca_tcga_pan_can_atlas_2018_log2CNA","esca_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (181 samples)","esca_tcga_pan_can_atlas_2018_3way_complete","esca_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (88 samples)","escc_icgc_sequenced","escc_icgc"
"all_cases_in_study","All Tumors","All tumor samples (88 samples)","escc_icgc_all","escc_icgc"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (137 samples)","escc_ucla_2014_sequenced","escc_ucla_2014"
"all_cases_in_study","All Tumors","All tumor samples (139 samples)","escc_ucla_2014_all","escc_ucla_2014"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (105 samples)","es_dfarber_broad_2014_sequenced","es_dfarber_broad_2014"
"all_cases_in_study","All Tumors","All tumor samples (115 samples)","es_dfarber_broad_2014_all","es_dfarber_broad_2014"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (112 samples)","es_iocurie_2014_sequenced","es_iocurie_2014"
"all_cases_in_study","All Tumors","All tumor samples (112 samples)","es_iocurie_2014_all","es_iocurie_2014"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (32 samples)","gbc_shanghai_2014_sequenced","gbc_shanghai_2014"
"all_cases_in_study","All Tumors","All tumor samples (38 samples)","gbc_shanghai_2014_all","gbc_shanghai_2014"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (155 samples)","gbm_tcga_methylation_hm450","gbm_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (433 samples)","gbm_tcga_methylation_all","gbm_tcga"
"all_cases_with_mutation_data","All Sequenced Tumors","All Sequenced samples (290 samples)","gbm_tcga_sequenced","gbm_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (273 samples)","gbm_tcga_cnaseq","gbm_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (577 samples)","gbm_tcga_cna","gbm_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (166 samples)","gbm_tcga_rna_seq_v2_mrna","gbm_tcga"
"all_cases_in_study","All Tumors","All tumor samples (842 samples)","gbm_tcga_all","gbm_tcga"
"all_cases_with_mrna_array_data","Tumor Samples with mRNA data (Agilent microarray)","All samples with mRNA expression data (401 samples)","gbm_tcga_mrna","gbm_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (136 samples)","gbm_tcga_3way_complete","gbm_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (244 samples)","gbm_tcga_rppa","gbm_tcga"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM27)","All samples with methylation (HM27) data (285 samples)","gbm_tcga_methylation_hm27","gbm_tcga"
"all_cases_with_mrna_array_data","Tumor Samples with mRNA data (U133 microarray only)","All samples with mRNA expression data (528 samples)","gbm_tcga_mrna_U133","gbm_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (397 samples)","gbm_tcga_pan_can_atlas_2018_sequenced","gbm_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (378 samples)","gbm_tcga_pan_can_atlas_2018_cnaseq","gbm_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (575 samples)","gbm_tcga_pan_can_atlas_2018_cna","gbm_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (160 samples)","gbm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","gbm_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (592 samples)","gbm_tcga_pan_can_atlas_2018_all","gbm_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (575 samples)","gbm_tcga_pan_can_atlas_2018_log2CNA","gbm_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (145 samples)","gbm_tcga_pan_can_atlas_2018_3way_complete","gbm_tcga_pan_can_atlas_2018"
"other","Expression Cluster Mesenchymal","Tumors assigned to the ""Mesenchymal"" expression cluster (Verhaak et al., 2010, 56 samples).","gbm_tcga_pub_expr_mesenchymal","gbm_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (91 samples)","gbm_tcga_pub_sequenced","gbm_tcga_pub"
"all_cases_with_mutation_and_cna_data","Tumors with sequencing and CNA data","All tumor samples that have CNA and sequencing data (91 samples)","gbm_tcga_pub_cnaseq","gbm_tcga_pub"
"all_cases_with_cna_data","Tumors CNA","All tumors with CNA data (206 samples)","gbm_tcga_pub_cna","gbm_tcga_pub"
"all_cases_with_microrna_data","Tumors with microRNA data (microRNA-Seq)","All samples with microRNA data (426 samples)","gbm_tcga_pub_microrna","gbm_tcga_pub"
"all_cases_in_study","All Tumors","All tumor samples (206 samples)","gbm_tcga_pub_all","gbm_tcga_pub"
"all_cases_with_mrna_array_data","Tumors with mRNA data","All samples with mRNA expression data (206 samples)","gbm_tcga_pub_mrna","gbm_tcga_pub"
"other","Expression Cluster Neural","Tumors assigned to the ""Neural"" expression cluster (Verhaak et al., 2010, 29 samples).","gbm_tcga_pub_expr_neural","gbm_tcga_pub"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (91 samples)","gbm_tcga_pub_3way_complete","gbm_tcga_pub"
"other","Expression Cluster Classical","Tumors assigned to the ""Classical"" expression cluster (Verhaak et al., 2010, 54 samples).","gbm_tcga_pub_expr_classical","gbm_tcga_pub"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM27)","All samples with methylation (HM27) data (288 samples)","gbm_tcga_pub_methylation_hm27","gbm_tcga_pub"
"all_cases_with_methylation_data","Tumors with methylation data","All samples with methylation data (288 samples)","gbm_tcga_pub_methylation","gbm_tcga_pub"
"other","Sequenced, Not Treated","Sequenced tumors without prior treatment (72 samples).","gbm_tcga_pub_sequenced_nottreated","gbm_tcga_pub"
"other","Sequenced, Treated","Sequenced tumors with prior treatment (19 samples).","gbm_tcga_pub_sequenced_treated","gbm_tcga_pub"
"other","Expression Cluster Proneural","Tumors assigned to the ""Proneural"" expression cluster (Verhaak et al., 2010, 56 samples).","gbm_tcga_pub_expr_proneural","gbm_tcga_pub"
"other","Sequenced, No Hypermutators","Tumors with Phase I sequencing and copy number data, 7 hypermutators excluded (84 samples).","gbm_tcga_pub_sequenced_nohyper","gbm_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (291 samples)","gbm_tcga_pub2013_sequenced","gbm_tcga_pub2013"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (281 samples)","gbm_tcga_pub2013_cnaseq","gbm_tcga_pub2013"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (563 samples)","gbm_tcga_pub2013_cna","gbm_tcga_pub2013"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (154 samples)","gbm_tcga_pub2013_rna_seq_v2_mrna","gbm_tcga_pub2013"
"all_cases_in_study","All Tumors","All tumor samples (585 samples)","gbm_tcga_pub2013_all","gbm_tcga_pub2013"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (142 samples)","gbm_tcga_pub2013_3way_complete","gbm_tcga_pub2013"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (214 samples)","gbm_tcga_pub2013_rppa","gbm_tcga_pub2013"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (180 samples)","gct_msk_2016_sequenced","gct_msk_2016"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (180 samples)","gct_msk_2016_cnaseq","gct_msk_2016"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (180 samples)","gct_msk_2016_cna","gct_msk_2016"
"all_cases_in_study","All Tumors","All tumor samples (205 samples)","gct_msk_2016_all","gct_msk_2016"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (243 samples)","hcc_inserm_fr_2015_sequenced","hcc_inserm_fr_2015"
"all_cases_in_study","All Tumors","All tumor samples (250 samples)","hcc_inserm_fr_2015_all","hcc_inserm_fr_2015"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced tumors","hcc_msk_venturaa_2018_sequenced","hcc_msk_venturaa_2018"
"all_cases_with_mutation_and_cna_data","Tumors with sequencing and CNA data","All tumor samples that have CNA and sequencing data","hcc_msk_venturaa_2018_cnaseq","hcc_msk_venturaa_2018"
"all_cases_with_cna_data","Tumors CNA","All tumors with CNA data","hcc_msk_venturaa_2018_cna","hcc_msk_venturaa_2018"
"all_cases_in_study","All Tumors","All tumor samples","hcc_msk_venturaa_2018_all","hcc_msk_venturaa_2018"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (133 samples)","hnc_mskcc_2016_sequenced","hnc_mskcc_2016"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (132 samples)","hnc_mskcc_2016_cnaseq","hnc_mskcc_2016"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (151 samples)","hnc_mskcc_2016_cna","hnc_mskcc_2016"
"all_cases_in_study","All Tumors","All tumor samples (177 samples)","hnc_mskcc_2016_all","hnc_mskcc_2016"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (74 samples)","hnsc_broad_sequenced","hnsc_broad"
"all_cases_in_study","All Tumors","All tumor samples (74 samples)","hnsc_broad_all","hnsc_broad"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (32 samples)","hnsc_jhu_sequenced","hnsc_jhu"
"all_cases_in_study","All Tumors","All tumor samples (32 samples)","hnsc_jhu_all","hnsc_jhu"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (40 samples)","hnsc_mdanderson_2013_sequenced","hnsc_mdanderson_2013"
"all_cases_in_study","All Tumors","All tumor samples (40 samples)","hnsc_mdanderson_2013_all","hnsc_mdanderson_2013"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (580 samples)","hnsc_tcga_methylation_hm450","hnsc_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (530 samples)","hnsc_tcga_methylation_all","hnsc_tcga"
"all_cases_with_mutation_data","All Sequenced Tumors","All Sequenced samples (512 samples)","hnsc_tcga_sequenced","hnsc_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (504 samples)","hnsc_tcga_cnaseq","hnsc_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (522 samples)","hnsc_tcga_cna","hnsc_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (522 samples)","hnsc_tcga_rna_seq_v2_mrna","hnsc_tcga"
"all_cases_in_study","All Tumors","All tumor samples (937 samples)","hnsc_tcga_all","hnsc_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (496 samples)","hnsc_tcga_3way_complete","hnsc_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (357 samples)","hnsc_tcga_rppa","hnsc_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (515 samples)","hnsc_tcga_pan_can_atlas_2018_sequenced","hnsc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (496 samples)","hnsc_tcga_pan_can_atlas_2018_cnaseq","hnsc_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (517 samples)","hnsc_tcga_pan_can_atlas_2018_cna","hnsc_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (515 samples)","hnsc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","hnsc_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (523 samples)","hnsc_tcga_pan_can_atlas_2018_all","hnsc_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (517 samples)","hnsc_tcga_pan_can_atlas_2018_log2CNA","hnsc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (488 samples)","hnsc_tcga_pan_can_atlas_2018_3way_complete","hnsc_tcga_pan_can_atlas_2018"
"all_cases_with_methylation_data","Tumors with methylation data (HM450)","All samples with methylation (HM450) data (279 samples)","hnsc_tcga_pub_methylation_hm450","hnsc_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (279 samples)","hnsc_tcga_pub_sequenced","hnsc_tcga_pub"
"all_cases_with_mutation_and_cna_data","Tumors with sequencing and CNA data","All tumor samples that have CNA and sequencing data (279 samples)","hnsc_tcga_pub_cnaseq","hnsc_tcga_pub"
"all_cases_with_cna_data","Tumors CNA","All tumors with CNA data (279 samples)","hnsc_tcga_pub_cna","hnsc_tcga_pub"
"other","Freeze set","Tumors in the freeze set (279 samples)","hnsc_tcga_pub_freeze","hnsc_tcga_pub"
"other","HPV-negative tumors","HPV-negative tumors (243 samples)","hnsc_tcga_pub_hpvneg","hnsc_tcga_pub"
"all_cases_with_mrna_rnaseq_data","Tumors with mRNA data (RNA Seq V2)","All samples with mRNA expression data (279 samples)","hnsc_tcga_pub_rna_seq_v2_mrna","hnsc_tcga_pub"
"all_cases_in_study","All Tumors","All tumor samples (279 samples)","hnsc_tcga_pub_all","hnsc_tcga_pub"
"all_cases_with_log2_cna_data","Tumors log2 copy-number","All tumors with log2 copy-number data (279 samples)","hnsc_tcga_pub_log2CNA","hnsc_tcga_pub"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (279 samples)","hnsc_tcga_pub_3way_complete","hnsc_tcga_pub"
"all_cases_with_rppa_data","Tumors with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (212 samples)","hnsc_tcga_pub_rppa","hnsc_tcga_pub"
"other","HPV-positive tumors","HPV-positive tumors (36 samples)","hnsc_tcga_pub_hpvpos","hnsc_tcga_pub"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (66 samples)","kich_tcga_methylation_hm450","kich_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (66 samples)","kich_tcga_methylation_all","kich_tcga"
"all_cases_with_mutation_data","All Sequenced Tumors","All Sequenced samples (66 samples)","kich_tcga_sequenced","kich_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (66 samples)","kich_tcga_cnaseq","kich_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (66 samples)","kich_tcga_cna","kich_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (66 samples)","kich_tcga_rna_seq_v2_mrna","kich_tcga"
"all_cases_in_study","All Tumors","All tumor samples (66 samples)","kich_tcga_all","kich_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (66 samples)","kich_tcga_3way_complete","kich_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (63 samples)","kich_tcga_rppa","kich_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (65 samples)","kich_tcga_pan_can_atlas_2018_sequenced","kich_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (65 samples)","kich_tcga_pan_can_atlas_2018_cnaseq","kich_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (65 samples)","kich_tcga_pan_can_atlas_2018_cna","kich_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (65 samples)","kich_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","kich_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (65 samples)","kich_tcga_pan_can_atlas_2018_all","kich_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (65 samples)","kich_tcga_pan_can_atlas_2018_log2CNA","kich_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (65 samples)","kich_tcga_pan_can_atlas_2018_3way_complete","kich_tcga_pan_can_atlas_2018"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (66 samples)","kich_tcga_pub_methylation_hm450","kich_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (65 samples)","kich_tcga_pub_sequenced","kich_tcga_pub"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (65 samples)","kich_tcga_pub_cnaseq","kich_tcga_pub"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (66 samples)","kich_tcga_pub_cna","kich_tcga_pub"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (66 samples)","kich_tcga_pub_rna_seq_v2_mrna","kich_tcga_pub"
"all_cases_in_study","All Tumors","All tumor samples (304 samples)","kich_tcga_pub_all","kich_tcga_pub"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (65 samples)","kich_tcga_pub_3way_complete","kich_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (98 samples)","kirc_bgi_sequenced","kirc_bgi"
"all_cases_in_study","All Tumors","All tumor samples (98 samples)","kirc_bgi_all","kirc_bgi"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (480 samples)","kirc_tcga_methylation_hm450","kirc_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (536 samples)","kirc_tcga_methylation_all","kirc_tcga"
"all_cases_with_mutation_data","All Sequenced Tumors","All sequenced tumor samples (451 samples)","kirc_tcga_sequenced","kirc_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (448 samples)","kirc_tcga_cnaseq","kirc_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (528 samples)","kirc_tcga_cna","kirc_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (534 samples)","kirc_tcga_rna_seq_v2_mrna","kirc_tcga"
"all_cases_in_study","All Tumors","All tumor samples (1175 samples)","kirc_tcga_all","kirc_tcga"
"all_cases_with_mrna_array_data","Tumor Samples with mRNA data (Agilent microarray)","All samples with mRNA expression data (72 samples)","kirc_tcga_mrna","kirc_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (446 samples)","kirc_tcga_3way_complete","kirc_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (478 samples)","kirc_tcga_rppa","kirc_tcga"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM27)","All samples with methylation (HM27) data (418 samples)","kirc_tcga_methylation_hm27","kirc_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (402 samples)","kirc_tcga_pan_can_atlas_2018_sequenced","kirc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (354 samples)","kirc_tcga_pan_can_atlas_2018_cnaseq","kirc_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (509 samples)","kirc_tcga_pan_can_atlas_2018_cna","kirc_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (510 samples)","kirc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","kirc_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (512 samples)","kirc_tcga_pan_can_atlas_2018_all","kirc_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (509 samples)","kirc_tcga_pan_can_atlas_2018_log2CNA","kirc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (352 samples)","kirc_tcga_pan_can_atlas_2018_3way_complete","kirc_tcga_pan_can_atlas_2018"
"other","Manuscript samples","Manuscript sample set with genomic data from all platforms (368 samples)","kirc_tcga_pub_manuscript","kirc_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (424 samples)","kirc_tcga_pub_sequenced","kirc_tcga_pub"
"all_cases_with_mutation_and_cna_data","Tumors with sequencing and CNA data","All tumor samples that have CNA and sequencing data (418 samples)","kirc_tcga_pub_cnaseq","kirc_tcga_pub"
"all_cases_with_cna_data","Tumors CNA","All tumors with CNA data (436 samples)","kirc_tcga_pub_cna","kirc_tcga_pub"
"all_cases_with_mrna_rnaseq_data","Tumors with mRNA data (RNA Seq V2)","All samples with mRNA expression data (469 samples)","kirc_tcga_pub_rna_seq_v2_mrna","kirc_tcga_pub"
"other","Freeze: Chromophobe","Chromophobe samples (15 samples)","kirc_tcga_pub_chromophobe","kirc_tcga_pub"
"other","Freeze: Treated","Cases with prior treatment (30 samples)","kirc_tcga_pub_treated","kirc_tcga_pub"
"all_cases_with_microrna_data","Tumors with microRNA data (microRNA-Seq)","All samples with microRNA data (171 samples)","kirc_tcga_pub_microrna","kirc_tcga_pub"
"all_cases_in_study","All Tumors","All tumor samples (499 samples)","kirc_tcga_pub_all","kirc_tcga_pub"
"all_cases_with_mrna_array_data","Tumors with mRNA data (Agilent microarray)","All samples with mRNA expression data (72 samples)","kirc_tcga_pub_mrna","kirc_tcga_pub"
