molecularAlterationType,datatype,name,description,showProfileInAnalysisTab,molecularProfileId,studyId
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels (Agilent microarray).",false,"coadread_tcga_pub_mrna","coadread_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"coadread_tcga_pub_mrna_median_Zscores","coadread_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"coadread_tcga_pub_linear_CNA","coadread_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation beta-values (HM27 platform). For genes with multiple methylation probes, the probe least correlated with expression is selected.",false,"coadread_tcga_pub_methylation_hm27","coadread_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"coadread_tcga_pub_mutations","coadread_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","microRNA expression","expression levels for microRNAs.",false,"coadread_tcga_pub_mirna","coadread_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","microRNA expression Z-scores","microRNA expression Z-scores compared to all tumors.",false,"coadread_tcga_pub_mirna_median_Zscores","coadread_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA/miRNA expression Z-scores (all genes)","mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",false,"coadread_tcga_pub_mrna_merged_median_Zscores","coadread_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"crc_msk_2018_gistic","crc_msk_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from MSK-IMPACT CRC.",true,"crc_msk_2018_mutations","crc_msk_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from target sequencing of 504 cancer-associated genes on lymph node metastases in 29 patients with cutaneous squamous cell carcinomas.",true,"cscc_dfarber_2015_mutations","cscc_dfarber_2015"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutation data from whole exome sequencing of 39 cases of agressive cSCC samples.",true,"cscc_hgsc_bcm_2014_mutations","cscc_hgsc_bcm_2014"
"MUTATION_EXTENDED","MAF","Mutations","WXS Cohort",true,"ctcl_columbia_2015_mutations","ctcl_columbia_2015"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from Exome/Whole Genome sequencing of 20 desmoplastic melanoma cases.",true,"desm_broad_2015_mutations","desm_broad_2015"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole-exome sequencing of 135 DLBCL samples.",true,"dlbcl_dfci_2018_mutations","dlbcl_dfci_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","copy-number values","copy number alterations from whole-exome sequencing data of 1,001 DLBCL patients",false,"dlbcl_duke_2017_log2CNA","dlbcl_duke_2017"
"MUTATION_EXTENDED","MAF","Mutations","Mutations from genomic profiling of 150 driver genes",true,"dlbcl_duke_2017_mutations","dlbcl_duke_2017"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from whole exome sequencing.",true,"dlbc_broad_2012_mutations","dlbc_broad_2012"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"dlbc_tcga_rppa","dlbc_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"dlbc_tcga_rppa_Zscores","dlbc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 48 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"dlbc_tcga_gistic","dlbc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 48 dlbcl cases (RNA Seq V2 RSEM).",false,"dlbc_tcga_rna_seq_v2_mrna","dlbc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"dlbc_tcga_rna_seq_v2_mrna_median_Zscores","dlbc_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"dlbc_tcga_linear_CNA","dlbc_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 48 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"dlbc_tcga_methylation_hm450","dlbc_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: DLBC/20160128/gdac.broadinstitute.org_DLBC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"dlbc_tcga_mutations","dlbc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"dlbc_tcga_pan_can_atlas_2018_gistic","dlbc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"dlbc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","dlbc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"dlbc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","dlbc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"dlbc_tcga_pan_can_atlas_2018_log2CNA","dlbc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"dlbc_tcga_pan_can_atlas_2018_mutations","dlbc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations (MSK-IMPACT)","Putative copy-number calls derived from IMPACT data. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"egc_msk_2017_cna","egc_msk_2017"
"MUTATION_EXTENDED","MAF","Mutations","IMPACT sequencing of tumor/normal samples",true,"egc_msk_2017_mutations","egc_msk_2017"
"MUTATION_EXTENDED","MAF","Whole-exome sequencing","Mutations from WXS cohort for 78 cases of Gastric Adencocarcinoma",true,"egc_tmucih_2015_mutations","egc_tmucih_2015"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 149 tumor/normal pairs.",true,"esca_broad_mutations","esca_broad"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"esca_tcga_rppa","esca_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"esca_tcga_rppa_Zscores","esca_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 184 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"esca_tcga_gistic","esca_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 196 esca cases (RNA Seq V2 RSEM).",false,"esca_tcga_rna_seq_v2_mrna","esca_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"esca_tcga_rna_seq_v2_mrna_median_Zscores","esca_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"esca_tcga_linear_CNA","esca_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 202 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"esca_tcga_methylation_hm450","esca_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: ESCA/20160128/gdac.broadinstitute.org_ESCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"esca_tcga_mutations","esca_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"esca_tcga_pan_can_atlas_2018_gistic","esca_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"esca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","esca_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"esca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","esca_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"esca_tcga_pan_can_atlas_2018_log2CNA","esca_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"esca_tcga_pan_can_atlas_2018_mutations","esca_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from genome or exome sequencing of 88 tumor/normal pairs.",true,"escc_icgc_mutations","escc_icgc"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 20 esophageal squamous cell carcinoma(escc) patients and targeted deep sequencing of 119 escc patients.",true,"escc_ucla_2014_mutations","escc_ucla_2014"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 92 pediatric Ewing Sarcoma tumors and 11 cell lines.",true,"es_dfarber_broad_2014_mutations","es_dfarber_broad_2014"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole-genome sequencing of 112 Ewing sarcoma samples and matched germ line DNA.",true,"es_iocurie_2014_mutations","es_iocurie_2014"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 32 gallbladder carcinoma tumors with paired normals.",true,"gbc_shanghai_2014_mutations","gbc_shanghai_2014"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"gbm_tcga_rppa","gbm_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"gbm_tcga_rppa_Zscores","gbm_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 577 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"gbm_tcga_gistic","gbm_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (U133 microarray only)","mRNA expression data from the Affymetrix U133 microarray.",false,"gbm_tcga_mrna_U133","gbm_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (U133 microarray only)","mRNA z-Scores  (U133 microarray only) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"gbm_tcga_mrna_U133_Zscores","gbm_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17155 genes in 411 gbm cases (Agilent microarray).",false,"gbm_tcga_mrna","gbm_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"gbm_tcga_mrna_median_Zscores","gbm_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 171 gbm cases (RNA Seq V2 RSEM).",false,"gbm_tcga_rna_seq_v2_mrna","gbm_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"gbm_tcga_rna_seq_v2_mrna_median_Zscores","gbm_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"gbm_tcga_linear_CNA","gbm_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 285 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"gbm_tcga_methylation_hm27","gbm_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 155 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"gbm_tcga_methylation_hm450","gbm_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: GBM/20160128/gdac.broadinstitute.org_GBM.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz.",true,"gbm_tcga_mutations","gbm_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"gbm_tcga_pan_can_atlas_2018_gistic","gbm_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"gbm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","gbm_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"gbm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","gbm_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"gbm_tcga_pan_can_atlas_2018_log2CNA","gbm_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"gbm_tcga_pan_can_atlas_2018_mutations","gbm_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations (RAE, 203 cases)","Putative copy-number calls for all genes in 203 GBM cases. Copy number calls were determined from the Agilent 244k platform using the RAE algorithm by Barry Taylor @ MSKCC. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"gbm_tcga_pub_cna_rae","gbm_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations (Consensus, GBM Pathways, 206 cases)","Putative copy-number calls for genes implicated in glioblastoma (206 cases). These calls were used for the pathway analysis in the initial TCGA manuscript, and they are the consensus of a combination of the Agilent 244k and Affymetrix SNP6 platforms and three different methods (RAE, GISTIC, GTS). Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"gbm_tcga_pub_cna_consensus","gbm_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression","mRNA expression levels for 18,698 genes in 503 GBM cases using integrated values from the Affymetrix U133, Affymetrix Exon, and Agilent Platforms.",false,"gbm_tcga_pub_mrna","gbm_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","18,698 genes in 503 GBM cases using median expression values from the Affymetrix U133, Affymetrix Exon, and Agilent Platforms. z-Scores are computed relative to the expression distribution of each gene in tumors that are diploid for this gene.",true,"gbm_tcga_pub_mrna_median_Zscores","gbm_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation","Methylation beta-values (Infinium HumanMethylation27 platform). For genes with multiple methylation probes, the probe most negatively correlated with expression is used.",false,"gbm_tcga_pub_methylation_hm27","gbm_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data for ~1200 sequenced genes (Phases I/II of the TCGA glioblastoma project).",true,"gbm_tcga_pub_mutations","gbm_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","microRNA expression","expression levels for microRNAs.",false,"gbm_tcga_pub_mirna","gbm_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","microRNA expression Z-scores","microRNA expression Z-scores compared to all tumors.",false,"gbm_tcga_pub_mirna_median_Zscores","gbm_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA/miRNA expression Z-scores (all genes)","mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",true,"gbm_tcga_pub_mrna_merged_median_Zscores","gbm_tcga_pub"
"PROTEIN_LEVEL","CONTINUOUS","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"gbm_tcga_pub2013_rppa","gbm_tcga_pub2013"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"gbm_tcga_pub2013_rppa_Zscores","gbm_tcga_pub2013"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 563 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"gbm_tcga_pub2013_gistic","gbm_tcga_pub2013"
"MRNA_EXPRESSION","","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 154 GBM cases (RNA Seq V2 RSEM).",false,"gbm_tcga_pub2013_rna_seq_v2_mrna","gbm_tcga_pub2013"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"gbm_tcga_pub2013_rna_seq_v2_mrna_median_Zscores","gbm_tcga_pub2013"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"gbm_tcga_pub2013_linear_CNA","gbm_tcga_pub2013"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole-exome sequencing of 291 tumors.",true,"gbm_tcga_pub2013_mutations","gbm_tcga_pub2013"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"gct_msk_2016_gistic","gct_msk_2016"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"gct_msk_2016_mutations","gct_msk_2016"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole-exome sequencing(WXS) of 243 liver tumors identified mutational signatures associated with specific risk factors.",true,"hcc_inserm_fr_2015_mutations","hcc_inserm_fr_2015"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations (IMPACT341)","Putative copy-number calls derived from IMPACT341 data. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"hcc_msk_venturaa_2018_cna","hcc_msk_venturaa_2018"
"MUTATION_EXTENDED","MAF","Mutations","IMPACT341 sequencing of tumor/normal samples",true,"hcc_msk_venturaa_2018_mutations","hcc_msk_venturaa_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"hnc_mskcc_2016_gistic","hnc_mskcc_2016"
"MUTATION_EXTENDED","MAF","Mutations","IMPACT sequencing of tumor/normal samples",true,"hnc_mskcc_2016_mutations","hnc_mskcc_2016"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 74 tumor/normal pairs.",true,"hnsc_broad_mutations","hnsc_broad"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 32 tumor/normal pairs.",true,"hnsc_jhu_mutations","hnsc_jhu"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 40 tumor/normal pairs.",true,"hnsc_mdanderson_2013_mutations","hnsc_mdanderson_2013"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"hnsc_tcga_rppa","hnsc_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"hnsc_tcga_rppa_Zscores","hnsc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 522 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"hnsc_tcga_gistic","hnsc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 566 hnsc cases (RNA Seq V2 RSEM).",false,"hnsc_tcga_rna_seq_v2_mrna","hnsc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"hnsc_tcga_rna_seq_v2_mrna_median_Zscores","hnsc_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"hnsc_tcga_linear_CNA","hnsc_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 580 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"hnsc_tcga_methylation_hm450","hnsc_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: HNSC/20160128/gdac.broadinstitute.org_HNSC.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz.",true,"hnsc_tcga_mutations","hnsc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"hnsc_tcga_pan_can_atlas_2018_gistic","hnsc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"hnsc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","hnsc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"hnsc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","hnsc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"hnsc_tcga_pan_can_atlas_2018_log2CNA","hnsc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"hnsc_tcga_pan_can_atlas_2018_mutations","hnsc_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"hnsc_tcga_pub_rppa","hnsc_tcga_pub"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"hnsc_tcga_pub_rppa_Zscores","hnsc_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 306 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"hnsc_tcga_pub_gistic","hnsc_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 303 hnsc cases (RNA Seq V2 RSEM).",false,"hnsc_tcga_pub_rna_seq_v2_mrna","hnsc_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"hnsc_tcga_pub_rna_seq_v2_mrna_median_Zscores","hnsc_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"hnsc_tcga_pub_linear_CNA","hnsc_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 310 cases. For genes with multiple methylation probes, the probe least correlated with expression.",false,"hnsc_tcga_pub_methylation_hm450","hnsc_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"hnsc_tcga_pub_mutations","hnsc_tcga_pub"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"kich_tcga_rppa","kich_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"kich_tcga_rppa_Zscores","kich_tcga"
